ind_id	pop	time	sampled	lat	lon	node1	node2
27975	ANA	19023	True	62.3638342833696	50.5044436235262	19158	19159
29995	EUR	17038	True	47.7448389970043	14.3446018906195	20298	20299
38198	EHG	8911	True	47.0434974303069	19.5498714065318	25090	25091
13806	OOA	33784	True	42.0137044918004	58.0772584033086	10252	10253
12892	OOA	34804	True	39.5157520296382	56.0680586246008	9574	9575
11405	OOA	36727	True	39.836256401708	61.681544838417	8472	8473
4162	OOA	45845	True	30.9352553558421	45.3937261649012	3052	3053
11921	OOA	35981	True	41.2238400277018	58.5484803276914	8866	8867
18509	OOA	28092	True	40.0365728889236	62.9904116391481	13696	13697
19880	OOA	26863	True	37.7051278684702	36.3602567220736	14404	14405
658	OOA	50172	True	30.183922291599	32.7916159817088	430	431
3674	OOA	46450	True	30.6542097909327	40.5863647192968	2698	2699
5503	OOA	44176	True	32.3963294351284	49.4171135628537	4048	4049
11211	OOA	36939	True	38.4908243576728	59.1264155513039	8340	8341
22360	ANA	24436	True	39.9116077492541	34.3972089958912	15836	15837
28449	EHG	18564	True	38.6094917681157	35.9765809417896	19406	19407
2433	OOA	47982	True	33.2201054718314	38.924349557234	1774	1775
8649	OOA	40139	True	39.0808433944238	57.0243861099005	6432	6433
24903	EHG	22024	True	58.6990025746091	39.3945102002638	17332	17333
39937	EUR	7216	True	55.088295536576	47.0116777878878	26144	26145
37455	EUR	9649	True	57.0368710966394	32.995493031091	24630	24631
45238	EUR	1053	True	52.2972274665156	15.2536671433603	29700	29701
11815	OOA	36148	True	42.7632963505054	60.8094050687223	8800	8801
6990	OOA	42286	True	35.4029936669077	53.7195622153432	5172	5173
15629	OOA	31468	True	40.2646871622911	59.8237409467005	11624	11625
20059	EHG	26672	True	41.2266964409067	60.9285200746336	14542	14543
20510	EHG	26200	True	61.0708590216556	35.7954262629384	14818	14819
43732	EUR	2933	True	51.7483406244725	19.4086821004612	28628	28629
28032	EUR	18976	True	37.7765183424357	29.5009134439653	19182	19183
40038	ANA	7123	True	40.6272552349164	35.1748515095561	26202	26203
27315	EUR	19626	True	57.6522133639054	38.4360291976637	18758	18759
38923	EUR	8227	True	51.671923067594	11.7847650938792	25522	25523
22033	ANA	24762	True	59.5630658200397	57.1004920644454	15644	15645
36698	EUR	10310	True	38.2588977663363	27.3657043934015	24236	24237
763	OOA	50050	True	29.5706323394055	35.5629142562568	516	517
14880	OOA	32463	True	38.0537343709159	59.6918465263836	11058	11059
15503	OOA	31616	True	42.5279124059569	57.1436669929843	11536	11537
10925	OOA	37257	True	40.4554015472336	59.8228140990214	8142	8143
14979	OOA	32337	True	41.5855819322448	59.3873651510098	11140	11141
36730	EUR	10258	True	49.0466832203035	16.8652940882476	24264	24265
10486	OOA	37834	True	37.8388184899021	58.9819154789601	7798	7799
44671	EUR	1889	True	48.743455980418	13.4141274523459	29242	29243
40882	EHG	6219	True	60.156290663881	44.6211153805653	26734	26735
39970	EUR	7189	True	40.2236113180018	32.3045794273485	26160	26161
3582	OOA	46583	True	31.9257195518772	41.655284916294	2628	2629
37106	ANA	9939	True	55.7285374275729	51.1886630867463	24446	24447
13652	OOA	33958	True	39.2332838066839	61.1757059110358	10148	10149
38929	EUR	8224	True	48.252628806442	7.34664963370017	25526	25527
18369	OOA	28200	True	41.3685973502642	59.8637629884494	13630	13631
43652	YAM	3001	True	53.1534195103158	22.3812341128259	28580	28581
17911	OOA	28701	True	39.6168535625306	63.5511385600947	13330	13331
16027	OOA	31027	True	40.7282215648947	58.6416291706395	11926	11927
26851	EUR	20100	True	47.2584587061786	18.3364671460174	18490	18491
