ind_id	pop_id	time	sampled	lat	lon	node1	node2	pop
184	1	50813	True	29.711506364041	29.9184247750154	90	91	OOA
7047	1	42169	True	38.0326774868445	56.8873629613853	5254	5255	OOA
12970	1	34700	True	38.4565000475776	61.6716055891412	9650	9651	OOA
17404	1	29174	True	40.5032267762422	61.3015393720877	13026	13027	OOA
36627	3	10253	True	38.6609484483736	35.5420529564577	24268	24269	ANA
13108	1	34542	True	41.5168438898437	63.9222957063272	9752	9753	OOA
19835	2	26763	True	56.276901851336	44.8359961838342	14470	14471	EHG
16152	1	30762	True	38.8729843335054	56.5784519339873	12076	12077	OOA
35401	2	11475	True	61.4467350764958	33.5405894227981	23566	23567	EHG
28890	3	17904	True	36.9697116917515	37.0559922925161	19790	19791	ANA
39477	2	7507	True	58.2207403561029	32.3841394677594	25984	25985	EHG
13208	1	34415	True	38.1377399697426	56.6623793261096	9838	9839	OOA
4257	1	45680	True	33.3713801419219	45.6503951084294	3140	3141	OOA
15857	1	31137	True	42.0735357060829	58.3214166417992	11862	11863	OOA
10878	1	37333	True	37.159320249299	59.9683538100253	8092	8093	OOA
11848	1	36087	True	41.2142234575423	59.686985221719	8828	8829	OOA
96	1	50934	True	31.2951933865766	30.5739536108873	18	19	OOA
7340	1	41781	True	34.3371143447163	52.7973394021222	5468	5469	OOA
26070	3	20754	True	38.3393625021658	26.8662462454561	18136	18137	ANA
38412	3	8525	True	39.0357244218713	28.6100511843404	25338	25339	ANA
28075	3	18742	True	37.9586440783929	30.0897250725899	19318	19319	ANA
8790	1	39969	True	39.2698167695349	61.3802549556572	6560	6561	OOA
40721	2	6219	True	55.6292706749766	40.4042463795246	26734	26735	EHG
23259	4	23405	True	52.1705235849107	11.7658666301698	16478	16479	EUR
43787	4	2691	True	50.4321885803115	8.19505040126162	28760	28761	EUR
26653	2	20109	True	57.5630823940629	46.0468990072036	18474	18475	EHG
3797	1	46245	True	30.7775398666328	43.6376812762876	2806	2807	OOA
32931	4	13992	True	43.5336566088787	19.1165792342301	22126	22127	EUR
19636	3	26955	True	40.4006186979006	35.1073683196828	14340	14341	ANA
42880	4	3647	True	49.7520648442058	10.5487537419657	28158	28159	EUR
20349	3	26236	True	40.3359196039254	33.6843515871946	14788	14789	ANA
32277	4	14577	True	45.4518490246376	19.758294315034	21740	21741	EUR
31793	2	15078	True	53.6489566707828	49.7080430964829	21444	21445	EHG
24531	3	22214	True	35.6749546464128	36.1465384714018	17208	17209	ANA
1377	1	49318	True	28.1435900965609	32.0300971182793	998	999	OOA
17864	1	28634	True	37.9151795494661	60.806412733034	13368	13369	OOA
24148	3	22547	True	37.2033841760379	28.5136614201579	16984	16985	ANA
45242	4	818	True	46.812411349739	6.9190380487026	29822	29823	EUR
26526	2	20239	True	61.3937823842816	34.3130662530033	18396	18397	EHG
16378	1	30472	True	40.2283809457693	58.7793081241192	12252	12253	OOA
9866	1	38557	True	39.8853564369183	61.9964887313127	7334	7335	OOA
117	1	50897	True	28.9467980197962	32.5498295993738	36	37	OOA
