ind_id	pop_id	time	sampled	lat	lon	node1	node2	pop
1	45299	4	677	True	46.637809861497	23.6730231999163	29908	29909	EUR
2	45240	4	820	True	47.1557904577623	4.6805381055551	29818	29819	EUR
3	45321	4	612	True	49.0048845588213	18.3852687308654	29948	29949	EUR
4	45178	4	968	True	43.4967688945151	20.2396994058439	29752	29753	EUR
5	45210	4	893	True	43.6482573027209	25.6903188398344	29776	29777	EUR
6	45254	4	789	True	48.8553052971997	27.4355351728092	29842	29843	EUR
7	45333	4	559	True	51.6477244643278	18.806877906024	29970	29971	EUR
8	45220	4	866	True	52.2051075791657	7.26208501522684	29796	29797	EUR
9	45341	4	535	True	50.9648194202072	10.4977005356339	29986	29987	EUR
10	45246	4	809	True	48.4365006035264	6.43613435887628	29830	29831	EUR
11	45190	4	940	True	49.2481680999439	20.4059835579482	29764	29765	EUR
12	45268	4	765	True	48.0401663873751	7.86838544740765	29860	29861	EUR
13	45166	4	986	True	51.4768211134664	16.1123018962113	29740	29741	EUR
14	45219	4	871	True	47.3498781351683	6.12363405700837	29794	29795	EUR
15	45275	4	750	True	50.8307831885297	14.8611331797498	29874	29875	EUR
16	45271	4	757	True	48.6217970619036	6.64507398915816	29866	29867	EUR
17	45236	4	830	True	45.0726861818358	22.7503941090315	29810	29811	EUR
18	45340	4	537	True	50.6600813286342	14.9276643576489	29984	29985	EUR
19	45239	4	827	True	40.4219150762607	22.5732556269368	29816	29817	EUR
20	45264	4	772	True	52.236914154249	16.975383272049	29852	29853	EUR
21	45300	4	673	True	47.2067629169353	16.5209920552906	29910	29911	EUR
22	45228	4	840	True	49.7651733785214	6.24539844515608	29808	29809	EUR
23	45267	4	765	True	44.5275938970333	21.4933883392803	29858	29859	EUR
24	45265	4	771	True	49.2793890373072	25.7558353843076	29854	29855	EUR
25	45217	4	875	True	53.2276866179152	17.8227146723148	29790	29791	EUR
26	45304	4	658	True	47.910581978569	12.1939003158427	29918	29919	EUR
27	45307	4	649	True	47.244450016362	14.8008633514744	29922	29923	EUR
28	45189	4	948	True	49.0275066686874	9.08028261768536	29762	29763	EUR
29	45282	4	732	True	43.7568912785354	24.1176229999138	29886	29887	EUR
30	45212	4	890	True	47.7646632868625	9.91961776497848	29780	29781	EUR
31	45346	4	505	True	48.6776460865601	14.5829159487282	29996	29997	EUR
32	45320	4	614	True	48.716408923924	17.218070201101	29946	29947	EUR
33	45280	4	734	True	51.9633414825576	12.1563346776358	29882	29883	EUR
34	45337	4	546	True	47.3314409311684	9.26937497007556	29978	29979	EUR
35	45180	4	962	True	51.3810846115498	4.99839623974139	29756	29757	EUR
36	45286	4	718	True	48.6549844590952	22.3825279754411	29894	29895	EUR
37	45243	4	813	True	50.0161448718425	15.1500218197647	29824	29825	EUR
38	45336	4	546	True	47.2240174730269	3.31970521305471	29976	29977	EUR
39	45281	4	734	True	43.8045970395374	19.525447129741	29884	29885	EUR
40	45301	4	672	True	51.6637258985332	23.5555059987561	29912	29913	EUR
41	45238	4	828	True	44.7529968619033	10.7667760339358	29814	29815	EUR
42	45347	4	502	True	47.3782054321696	10.5913522974386	29998	29999	EUR
43	45278	4	744	True	50.8354949257196	7.95493342622089	29878	29879	EUR
44	45310	4	644	True	47.9860260371505	20.4118893880306	29928	29929	EUR
45	45248	4	806	True	44.9636023652651	26.1664800985522	29834	29835	EUR
46	45338	4	540	True	46.1894933589926	16.7218436025557	29980	29981	EUR
47	45241	4	819	True	49.0459588817947	26.7325036012163	29820	29821	EUR
48	45316	4	628	True	50.7745891410795	22.3224330493915	29940	29941	EUR
49	45216	4	876	True	50.3180528442008	21.8588835655202	29788	29789	EUR
50	45223	4	864	True	50.4443081238393	15.4836394739699	29798	29799	EUR
51	45200	4	922	True	49.3408439032467	17.2119321085952	29772	29773	EUR
52	45253	4	791	True	49.0812057333556	23.2650090250783	29840	29841	EUR
53	45284	4	728	True	50.3427602365429	17.8681366629543	29890	29891	EUR
54	45242	4	818	True	46.812411349739	6.9190380487026	29822	29823	EUR
55	45244	4	813	True	49.270819243926	8.20453763911274	29826	29827	EUR
56	45329	4	568	True	51.0942322290526	21.5109035041189	29964	29965	EUR
57	45165	4	997	True	45.5072378527308	26.9691132289712	29738	29739	EUR
58	45175	4	981	True	53.8956080298717	16.8292087756288	29746	29747	EUR
59	45306	4	650	True	49.1651913198583	17.4924142064235	29920	29921	EUR
60	45213	4	886	True	48.2690303301489	8.21658346979684	29782	29783	EUR
61	45270	4	761	True	49.4380714009616	13.0179225930943	29864	29865	EUR
62	45273	4	753	True	50.2108085307947	9.64838280692988	29870	29871	EUR
63	45345	4	510	True	50.2369968485005	5.99637471955317	29994	29995	EUR
64	45181	4	958	True	46.6143805736528	12.2058031146259	29758	29759	EUR
65	45224	4	857	True	45.7620640085132	13.4988391913617	29800	29801	EUR
66	45174	4	984	True	49.5677210364729	6.75275292824413	29744	29745	EUR
67	45323	4	609	True	45.3389514906215	10.4304249090162	29952	29953	EUR
68	45315	4	633	True	50.5059382201355	12.9001043761681	29938	29939	EUR
69	45188	4	953	True	46.7412507255781	24.3057241800181	29760	29761	EUR
70	45291	4	702	True	46.4564165519984	27.1117760220469	29900	29901	EUR
71	45313	4	641	True	47.5192074402892	13.4617923667833	29934	29935	EUR
72	45226	4	848	True	51.6628160774149	7.51455216697813	29804	29805	EUR
73	45327	4	591	True	53.3278782309631	15.9940186770229	29960	29961	EUR
74	45276	4	746	True	45.3272820438825	9.60026376434619	29876	29877	EUR
75	45258	4	776	True	51.9963967497097	17.2201143096514	29850	29851	EUR
