GoyetQ-2_udg	3094	204	0	583	0
I24540	2917	237	0	727	0
I7543	3514	95	0	272	0
I8041	3623	77	0	181	0
I19950	1884	503	0	1494	0
I5455	1429	657	0	1795	0
I6235	1372	652	0	1857	0
I6236	1126	730	0	2025	0
I19167	3790	25	0	66	0
I19942	3509	102	0	270	0
I3442	744	873	0	2264	0
I5454	1791	532	0	1558	0
I7544	1674	595	0	1612	0
I13267	1396	636	0	1849	0
I5456	2371	436	0	1074	0
I5457	2950	270	0	661	0
I19169	3661	59	0	161	0
I13268	3398	140	0	343	0
I3443	2449	393	0	1039	0
IO2	1853	599	0	1429	0
MIS3	1160	780	0	1941	0
MIS5	2262	428	0	1191	0
I0977	3685	52	0	144	0
I0978	3239	170	0	472	0
I19561	2386	382	0	1113	0
Enoque65_noUDG.SG	3729	33	0	119	0
I9054_noUDG_d	3298	163	0	420	0
I9055_noUDG_d	3762	26	0	93	0
I9056_noUDG_d	3720	51	0	110	0
I9058_noUDG	3528	88	0	265	0
I9057_noUDG_d	3855	5	0	21	0
CP18	2028	459	0	1394	0
CP25	1702	552	0	1627	0
CP21	1623	579	0	1679	0
CP22	2036	444	0	1401	0
LAR001	2414	397	0	1070	0
LAR002	2766	296	0	819	0
MOS001	2898	269	0	714	0
Sumidouro4_noUDG.SG	2217	362	0	1302	0
Sumidouro5_noUDG.SG	7	992	0	2882	0
Sumidouro6_noUDG.SG	1067	638	0	2176	0
Sumidouro7_noUDG.SG	2867	218	0	796	0
Sumidouro8_noUDG.SG	3473	93	0	315	0
I0781	2260	467	0	1154	0
I0785	3594	69	0	218	0
I2423	2285	455	0	1141	0
I2424	1760	533	0	1588	0
I2425	3224	158	0	499	0
I2427	1723	617	0	1541	0
I2430	1887	528	0	1466	0
I2431	1467	592	0	1822	0
I2526	2698	281	0	902	0
I2426_enhanced	3753	42	0	86	0
I2181_enhanced	3525	100	0	256	0
I2175	2555	338	0	988	0
I2180	1100	734	0	2047	0
I2520	1312	639	0	1930	0
Bul10	3673	54	0	154	0
I2510	1201	688	0	1992	0
I2165	1125	765	0	1991	0
I19458	3219	152	0	510	0
I18793	2659	338	0	884	0
I18801_d	3659	62	0	160	0
Bul4	2728	325	0	828	0
I5769	1608	651	0	1622	0
I0679_d	2611	268	0	1002	0
I1296_enhanced	3542	83	0	256	0
I2216_enhanced	3576	72	0	233	0
I17980	1435	634	0	1812	0
I2525	1114	845	0	1922	0
I2163	1190	722	0	1969	0
I0704_enhanced	3474	77	0	330	0
I1298_enhanced	3166	190	0	525	0
I2521	1303	683	0	1895	0
I2529_enhanced	1476	625	0	1780	0
I0706	3036	223	0	622	0
ANI160	3687	40	0	154	0
ANI159-ANI181	2510	351	0	1020	0
ANI152	3799	27	0	55	0
ANI153	3806	13	0	62	0
I10871	157	1211	0	2513	0
I10873	209	1092	0	2580	0
I10874	321	1077	0	2483	0
I10872_alt	2109	570	0	1202	0
XVII-B-939_noUDG.SG	2738	298	0	845	0
MARC1492_noUDG.SG	3515	113	0	253	0
CK-09_noUDG.SG	3324	153	0	404	0
CK-13_noUDG.SG	971	748	0	2162	0
19651_noUDG.SG	1595	598	0	1688	0
I10427	3525	102	0	254	0
gun002_noUDG.SG	3361	138	0	382	0
gun005_noUDG.SG	2878	297	0	706	0
gun008_noUDG.SG	3155	190	0	536	0
gun011_noUDG.SG	338	876	0	2667	0
gun012_noUDG.SG	2789	280	0	812	0
I16436_d	3863	4	0	14	0
I26628	3166	180	0	535	0
I26630	3826	9	0	46	0
I16430	2746	312	0	823	0
I16505	3310	149	0	422	0
I26629	3520	110	0	251	0
I16425	2175	464	0	1242	0
I16429	3626	58	0	197	0
I16438	3237	177	0	467	0
I16437	3312	152	0	417	0
I16444	1493	688	0	1700	0
I16427	3696	46	0	139	0
I2539	3668	52	0	161	0
I1752	1326	666	0	1889	0
I1754	1142	729	0	2010	0
I17497	3407	127	0	347	0
I14009	3222	165	0	494	0
I11974	1168	676	0	2037	0
I1753	1246	694	0	1941	0
I2537	2257	444	0	1180	0
SA5832_noUDG.SG	1163	762	0	1956	0
I8575	2137	463	0	1281	0
A460_noUDG.SG	7	965	0	2909	0
IPK13a_noUDG.SG	356	879	0	2646	0
IPK12_noUDG.SG	17	1092	0	2772	0
IPY10_noUDG.SG	9	949	0	2923	0
NE45_noUDG	3550	78	0	253	0
NE1_noUDG	3642	70	0	169	0
NE34_noUDG	2274	473	0	1134	0
NE5_noUDG	2420	403	0	1058	0
NE56_noUDG	1553	678	0	1650	0
NE3_noUDG	2168	476	0	1237	0
NE4_noUDG	2199	438	0	1244	0
NE8_noUDG	2799	313	0	769	0
NE36_noUDG	3866	4	0	11	0
NE57	3850	8	0	23	0
NE16_noUDG	3351	164	0	366	0
NE19_noUDG	2124	472	0	1285	0
NE2_noUDG	2972	248	0	661	0
NE22_noUDG	3432	146	0	303	0
NE29_noUDG	2060	543	0	1278	0
NE39_noUDG	2248	479	0	1154	0
NE49_noUDG	3392	153	0	336	0
NE58	3790	23	0	68	0
NE9_noUDG	1949	563	0	1369	0
NE20_noUDG	740	934	0	2207	0
WQM4_noUDG	3293	172	0	416	0
ZLNR-2_noUDG	3399	139	0	343	0
ZLNR-1_noUDG	3700	43	0	138	0
HMF32_noUDG	1702	655	0	1524	0
Bianbian_noUDG	1792	572	0	1517	0
BS	490	967	0	2424	0
XJS1309_M4_noUDG	2816	272	0	793	0
XJS1311_M16_noUDG	2798	297	0	786	0
Xiaogao_noUDG	949	865	0	2067	0
XJS1309_M7_noUDG	3366	131	0	384	0
Yumin_noUDG	1176	789	0	1916	0
Qihe2_noUDG_d	3010	240	0	631	0
L5694_noUDG	2924	285	0	672	0
L5700_noUDG	3067	208	0	606	0
L5701_noUDG_d	3788	19	0	74	0
L5704_noUDG_d	3783	31	0	67	0
L5705_noUDG	2677	299	0	905	0
L5706_noUDG_d	3778	27	0	76	0
L7415_noUDG	2979	230	0	672	0
L7417_noUDG_d	3561	103	0	217	0
L5692_noUDG_d	3855	3	0	23	0
L5698_noUDG_d	3828	17	0	36	0
L5703_noUDG_d	3848	6	0	27	0
LD1	1047	762	0	2072	0
LD2	1400	686	0	1795	0
