Ne30_genotyping_noUDG	1650	362	530	1668	0
Ne61_genotyping_noUDG	1650	397	525	1638	0
Ne35_genotyping_noUDG	1650	373	573	1614	0
I3931	3022	351	0	837	0
I3930	3205	259	0	746	0
CAO009013	396	1116	0	2698	0
I14200	3472	222	0	516	0
I2446	2282	539	0	1389	0
I13580	3685	148	0	377	0
I1415_enhanced	3804	122	0	284	0
I1701_enhanced	4046	42	0	122	0
I1710	3631	162	0	417	0
I4427	3246	279	0	685	0
I13778	709	917	0	2584	0
I0231	125	1204	0	2881	0
I1525	570	1125	0	2515	0
I1926	3233	262	0	715	0
I5870	3100	330	0	780	0
I3719	3388	213	0	609	0
I3716	3769	136	0	305	0
I5872	3691	157	0	362	0
Darra.I.Kur_noUDG_d	3858	102	0	250	0
I14689	1755	708	0	1747	0
I15705	3742	122	0	346	0
I16253	2396	510	0	1304	0
I13835	253	1078	0	2879	0
I13840	682	935	0	2593	0
I8471	3509	169	0	532	0
I13839	779	922	0	2509	0
I14622	1144	866	0	2200	0
I15706	804	953	0	2453	0
I15707	788	916	0	2506	0
I0308	2316	513	0	1381	0
I0309	1785	679	0	1746	0
I2230	903	992	0	2315	0
I2232	4069	37	0	104	0
I7086	3764	122	0	324	0
I12941	690	997	0	2523	0
I12942	2938	394	0	878	0
I12943	711	1004	0	2495	0
I12355	1213	865	0	2132	0
I8351	1317	776	0	2117	0
I8348	3339	257	0	614	0
I8349	2288	527	0	1395	0
I12376	3344	234	0	632	0
I12356	1338	802	0	2070	0
I12357	1532	762	0	1916	0
I12358	1003	906	0	2301	0
I12359	2653	474	0	1083	0
I12360	3649	154	0	407	0
I12361	3617	143	0	450	0
I12362	810	949	0	2451	0
I12354	487	1060	0	2663	0
I12363	1250	885	0	2075	0
I12364	3192	305	0	713	0
I12366	1822	634	0	1754	0
I12367	2495	479	0	1236	0
I12365	2622	445	0	1143	0
I16119	1596	738	0	1876	0
I1409	3845	93	0	272	0
I1631	872	935	0	2403	0
I1632	912	985	0	2313	0
I1634	1206	864	0	2140	0
I1659	866	873	0	2471	0
I1633	759	916	0	2535	0
I1635	969	882	0	2359	0
I1658	919	847	0	2444	0
ARM001	1464	741	0	2005	0
ARM002	1138	847	0	2225	0
I13599	833	927	0	2450	0
I14339	2205	583	0	1422	0
I15132	966	832	0	2412	0
I16706	4148	17	0	45	0
I14340	750	946	0	2514	0
I1657	924	886	0	2400	0
I16117	1369	755	0	2086	0
I16191	1325	855	0	2030	0
I17180	1859	625	0	1726	0
I17181	1397	784	0	2029	0
I16219	2107	599	0	1504	0
I19322	555	1008	0	2647	0
I13947	3125	304	0	781	0
I14054	762	926	0	2522	0
I14057	750	951	0	2509	0
I16536	3257	289	0	664	0
I16707	1264	775	0	2171	0
I17184	1552	798	0	1860	0
I3938	3118	308	0	784	0
I3944	3918	75	0	217	0
I17308	2657	412	0	1141	0
I19327	569	999	0	2642	0
I1639	1126	849	0	2235	0
I13948	856	940	0	2414	0
I15732	790	923	0	2497	0
I15733	771	909	0	2530	0
I15734	757	896	0	2557	0
I16217	1446	808	0	1956	0
I16220	1363	768	0	2079	0
I16537	1390	718	0	2102	0
I16554	1305	828	0	2077	0
I17182	1718	700	0	1792	0
I19329	465	1025	0	2720	0
I19338	548	984	0	2678	0
I19353	474	1024	0	2712	0
I19354	462	1116	0	2632	0
I20439	687	993	0	2530	0
I20440	1823	591	0	1796	0
I20441	953	850	0	2407	0
I20443	532	1043	0	2635	0
I14603	516	1006	0	2688	0
I14618	748	1000	0	2462	0
I14620	726	893	0	2591	0
I19328	603	987	0	2620	0
I14617	762	907	0	2541	0
DA35_noUDG.SG	1167	807	0	2236	0
RISE396_noUDG.SG	3938	72	0	200	0
RISE397_noUDG.SG	3100	254	0	856	0
