indivi	master	datmet	datmea	datstd	locate	countr	latitu	longit	warnin	timind	sntind
I12445	I12445	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12446	I12446	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12447	I12447	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12448	I12448	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12454	I12454	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12460	I12460	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12461	I12461	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12462	I12462	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12463	I12463	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12464	I12464	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12465	I12465	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12470	I12470	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12471	I12471	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12473	I12473	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12475	I12475	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12477	I12477	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I5396	I5396	Direct	2809	27	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I5397	I5397	Direct	2829	33	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I5398	I5398	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12140	I12140	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12453	I12453	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I12466	I12466	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	2500.to.5000.SNPs	TRUE	FALSE
I12149	I12149	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	Xcontam=[0.17,0.39]	TRUE	FALSE
I5399	I5399	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.76584167	72.34913333	..	TRUE	TRUE
I11562	I11562	Context	1450	288	Khyber__Pakhtunkhwa,__Chitral,__Parwak	Pakistan	36.280247	72.414702	<2500.SNPs,save.Pakistan	FALSE	FALSE
I10000	I10000	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I10001	I10001	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I10974	I10974	Direct	2903	32	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I12134	I12134	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I12137	I12137	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I12455	I12455	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
