indivi	master	datmet	datmea	datstd	locate	countr	latitu	longit	warnin	timind	sntind
Ne30_genotyping_noUDG	NE30	Direct	9896	121	Nepal,__Kathmandu	China	45.96	126.23	..	FALSE	TRUE
Ne61_genotyping_noUDG	NE61	Direct	3421	23	Nepal,__Kathmandu	China	45.88	126.22	..	FALSE	TRUE
Ne35_genotyping_noUDG	NE35	Direct	8990	72	Nepal,__Kathmandu	China	45.91	125.95	..	FALSE	TRUE
I17622	I17622	Context	3050	173	Southwest,__Dukat	Albania	40.295	19.49027778	2500.to.5000.SNPs,__damage.ss.half=0.096	FALSE	TRUE
I13833	I13833	Context	325	101	Barç__(Southeast,__Korça__Basin)	Albania	40.625278	20.801111	..	FALSE	TRUE
I3931	I3931	Direct	7858	45	Aknashen	Armenia	40.10093333	44.29051667	..	FALSE	TRUE
I3930	I3930	Direct	7535	28	Masis__Blur	Armenia	40.15151667	44.70435	mtcontam=[0.955,0.968]	FALSE	TRUE
I13559	I13559	Context	750	173	South__Andros,__Sanctuary__Blue__Hole	Bahamas	24.1	-77.55	..	FALSE	TRUE
I24542_d	I24542	Context	4725	101	Mayahak__Cab__Pek	Belize	16.497398	-88.90496	mtcontam=[0.832,0.959]	FALSE	TRUE
I19493_in.preparation	I19493	Context	2750	173	Kapitan__Andreevo__(South)	Bulgaria	41.73	26.33	..	FALSE	TRUE
I19479_in.preparation	I19479	Context	2025	130	Kazanlak,__Yasenovo,__Stara__Zagora	Bulgaria	42.62	25.41	2500.to.5000.SNPs	FALSE	FALSE
CAO009013	I13487	Direct	1329	16	Matanzas__City,__Canimar__Abajo	Cuba	23.038	-81.497	..	FALSE	TRUE
I16326	I16326	Context	2625	72	NW__Bohemia,__Louny,__Stradonice	Czech__Republic	50.291389	14.045556	damage.ss.half=0.096	FALSE	TRUE
I8122	I8122	Context	1150	173	El__Soco	Dominican__Republic	18.447	-69.187	..	FALSE	TRUE
I14200	I14200	Direct	4328	57	England,__Wiltshire,__Amesbury__Down	United__Kingdom	51.168023	-1.7725402	..	FALSE	TRUE
I2446	I2446	Direct	4215	78	England,__Oxfordshire,__Yarnton	United__Kingdom	51.7977	-1.313464	..	TRUE	TRUE
I19043_old	I19043	Context	2200	87	England,__Hampshire,__Winnall__Down	United__Kingdom	51.07	-1.29	damage.ss.half=0.066	FALSE	TRUE
I30333	I30333	Direct	5748	89	England,__Gloucestershire,__Cheltenham,__Hazleton__North	United__Kingdom	51.861211	-1.883011	..	FALSE	FALSE
I3587	I3587	Context	4175	43	Bavaria,__Alburg-Lerchenhaid,__Spedition__Häring,__Stkr.__Straubing	Germany	48.8833	12.5332	sexratio=0.216	TRUE	FALSE
I13433	I13433	Context	3200	58	Kastrouli__(Desfina,__Phokis,__near__Delphi)	Greece	38.399083	22.575	..	FALSE	TRUE
I13531	I13531	Context	3200	58	Kastrouli__(Desfina,__Phokis,__near__Delphi)	Greece	38.399083	22.575	mtcontam=[0.92,0.969]	FALSE	TRUE
I13580	I13580	Direct	3169	55	Kastrouli__(Desfina,__Phokis,__near__Delphi)	Greece	38.399083	22.575	..	FALSE	TRUE
I7527	I7527	Context	9900	144	Ganj__Dareh	Iran	34.45	48.116	..	FALSE	TRUE
I6441_d	I6441	Context	3300	433	Nemrik__9	Iraq	36.716667	42.85	..	FALSE	TRUE
I6445	I6445	Context	10700	433	Nemrik__9	Iraq	36.716667	42.85	mtcontam=[0.919,0.977]	FALSE	TRUE
I6441	I6441	Context	3300	433	Nemrik__9	Iraq	36.716667	42.85	Xcontam=[0.011,0.020],__mtcontam=[0.934,0.966]	FALSE	FALSE
I2189	I2189	Context	3500	29	Megiddo,__Jezreel__Valley	Israel	32.58472222	35.01694444	..	TRUE	TRUE
I1072_enhanced_d	I1072	Context	12700	722	Raqefet__Cave	Israel	32.65	35.067	..	FALSE	FALSE
I1072_d	I1072	Context	12700	722	Raqefet__Cave	Israel	32.65	35.067	..	FALSE	FALSE
I1072	I1072	Context	12700	722	Raqefet__Cave	Israel	32.65	35.067	..	FALSE	TRUE
I1415_enhanced	I1415	Direct	9827	132	'Ain__Ghazal	Jordan	31.988	35.976	mtcontam=[0.935,0.976]	FALSE	TRUE
I1701_enhanced	I1701	Direct	9600	57	'Ain__Ghazal	Jordan	31.988	35.976	mtcontam=[0.929,0.975]	FALSE	TRUE
I1707	I1707	Direct	9569	54	'Ain__Ghazal	Jordan	31.988	35.976	mtcontam=[0.884,0.929]	FALSE	FALSE
I1709_enhanced	I1709	Context	10050	115	'Ain__Ghazal	Jordan	31.988	35.976	..	FALSE	TRUE
I1710	I1710	Direct	9565	63	'Ain__Ghazal	Jordan	31.988	35.976	..	FALSE	TRUE
I1704	I1704	Direct	9159	97	'Ain__Ghazal	Jordan	31.988	35.976	mtcontam=[0.771,0.878]	FALSE	FALSE
I1727	I1727	Context	10050	115	'Ain__Ghazal	Jordan	31.988	35.976	mtcontam=[0.781,0.899]	FALSE	FALSE
I1415	I1415	Direct	9827	132	'Ain__Ghazal	Jordan	31.988	35.976	..	FALSE	FALSE
I1701	I1701	Direct	9600	57	'Ain__Ghazal	Jordan	31.988	35.976	..	TRUE	FALSE
I1709	I1709	Context	10050	115	'Ain__Ghazal	Jordan	31.988	35.976	..	FALSE	FALSE
I1679_enhanced	I1679	Context	8800	29	'Ain__Ghazal	Jordan	31.988	35.976	..	FALSE	TRUE
I1699	I1699	Context	8700	29	'Ain__Ghazal	Jordan	31.988	35.976	mtcontam=[0.958,0.976]	FALSE	TRUE
I1708	I1708	Context	8700	29	'Ain__Ghazal	Jordan	31.988	35.976	mtcontam=[0.892,0.958]	FALSE	TRUE
I1679	I1679	Context	8800	29	'Ain__Ghazal	Jordan	31.988	35.976	mtcontam=[0.759,0.902]	FALSE	FALSE
I4427	I4427	Direct	6009	72	Fingira	Malawi	-10.786153	33.765371	..	FALSE	TRUE
I4427_noUDG	I4427	Direct	6009	72	Fingira	Malawi	-10.786153	33.765371	..	FALSE	FALSE
I13778	I13778	Direct	3234	51	Velika__Gruda	Montenegro	42.366667	18.733333	..	FALSE	TRUE
I0231	I0231	Direct	4844	9	Samara__Oblast,__Volga__River__Valley,__Southern__Steppe,__Ekaterinovka	Russia	53.08561111	49.46591111	..	FALSE	TRUE
I1525	I1525	Direct	1695	113	Uelen__Chukotka,__Bering__Strait	Russia	66.161126	-169.822297	damage.ds.half=0.029-0.034	FALSE	TRUE
I0726	I0726	Context	7950	231	Menteşe__(Northwest__Anatolia,__Marmara,__Yenişehir)	Turkey	40.26	29.65	..	FALSE	TRUE
I1099	I1099	Context	8300	87	Barcın__(Northwest__Anatolia,__Marmara)	Turkey	40.3037	29.57	..	FALSE	TRUE
I1100	I1100	Context	8300	87	Barcın__(Northwest__Anatolia,__Marmara)	Turkey	40.3037	29.57	mtcontam=[0.965,0.979]	FALSE	TRUE
I1102	I1102	Context	8300	87	Barcın__(Northwest__Anatolia,__Marmara)	Turkey	40.3037	29.57	..	FALSE	TRUE
I1103	I1103	Context	8300	87	Barcın__(Northwest__Anatolia,__Marmara)	Turkey	40.3037	29.57	..	FALSE	TRUE
I0725	I0725	Context	7950	231	Menteşe__(Northwest__Anatolia,__Marmara,__Yenişehir)	Turkey	40.26	29.65	..	TRUE	TRUE
I14445	I14445	Context	10700	144	Boncuklu__Tarla__(Southeast,__Mardin,__Dargeçit,__Ilısu)__	Turkey	37.52	41.84	2500.to.5000.SNPs	FALSE	FALSE
I8435_old7	I8435	Context	10700	144	Boncuklu__Tarla__(Southeast,__Mardin,__Dargeçit,__Ilısu)	Turkey	37.52	41.84	mtcontam=[0.677,0.969],__2500.to.5000.SNPs,__sex.ratio=0.044	FALSE	FALSE
I1926	I1926	Direct	5649	35	Verteba__Cave	Ukraine	48.7225	25.880833	..	FALSE	TRUE
I5870	I5870	Direct	7363	40	Volniensky,__Vilnianka	Ukraine	47.9543	35.3893	..	TRUE	TRUE
I3719	I3719	Direct	6831	42	Kirovograd__Oblast,__Dereivka__village	Ukraine	48.91422	33.76493	..	TRUE	TRUE
I3716	I3716	Direct	7347	48	Volniensky,__Vilnianka	Ukraine	47.9543	35.3893	..	TRUE	TRUE
I5872	I5872	Direct	7374	31	Volniensky,__Vilnianka	Ukraine	47.9543	35.3893	..	TRUE	TRUE
HG02420.SG	HG02420	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01880.SG	HG01880	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01988.SG	HG01988	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02419.SG	HG02419	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01879.SG	HG01879	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01882.SG	HG01882	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01883.SG	HG01883	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01885.SG	HG01885	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01886.SG	HG01886	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01889.SG	HG01889	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01890.SG	HG01890	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01894.SG	HG01894	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01896.SG	HG01896	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01912.SG	HG01912	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01914.SG	HG01914	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01915.SG	HG01915	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01956.SG	HG01956	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01958.SG	HG01958	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01985.SG	HG01985	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01986.SG	HG01986	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01989.SG	HG01989	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG01990.SG	HG01990	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02009.SG	HG02009	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02010.SG	HG02010	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02012.SG	HG02012	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02013.SG	HG02013	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02014.SG	HG02014	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02051.SG	HG02051	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02052.SG	HG02052	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02053.SG	HG02053	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02054.SG	HG02054	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02095.SG	HG02095	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02107.SG	HG02107	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02108.SG	HG02108	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02111.SG	HG02111	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02143.SG	HG02143	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02144.SG	HG02144	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02255.SG	HG02255	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02256.SG	HG02256	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02281.SG	HG02281	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02282.SG	HG02282	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02283.SG	HG02283	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02284.SG	HG02284	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02307.SG	HG02307	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02308.SG	HG02308	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02309.SG	HG02309	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02314.SG	HG02314	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02315.SG	HG02315	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02317.SG	HG02317	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02318.SG	HG02318	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02322.SG	HG02322	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02323.SG	HG02323	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02325.SG	HG02325	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02330.SG	HG02330	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02332.SG	HG02332	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02334.SG	HG02334	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02337.SG	HG02337	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02339.SG	HG02339	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02343.SG	HG02343	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02427.SG	HG02427	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02429.SG	HG02429	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02433.SG	HG02433	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02439.SG	HG02439	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02442.SG	HG02442	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02445.SG	HG02445	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02449.SG	HG02449	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02450.SG	HG02450	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02455.SG	HG02455	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02470.SG	HG02470	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02471.SG	HG02471	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02476.SG	HG02476	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02477.SG	HG02477	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02479.SG	HG02479	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02481.SG	HG02481	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02484.SG	HG02484	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02485.SG	HG02485	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02489.SG	HG02489	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02496.SG	HG02496	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02497.SG	HG02497	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02501.SG	HG02501	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02502.SG	HG02502	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02505.SG	HG02505	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02508.SG	HG02508	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02511.SG	HG02511	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02536.SG	HG02536	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02537.SG	HG02537	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02541.SG	HG02541	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02545.SG	HG02545	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02546.SG	HG02546	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02549.SG	HG02549	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02554.SG	HG02554	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02555.SG	HG02555	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02557.SG	HG02557	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02558.SG	HG02558	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02577.SG	HG02577	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HG02580.SG	HG02580	Modern	0	0	Afro-Caribbeans	Barbados	13.17	-59.5525	..	FALSE	FALSE
HGDP01396.DG	HGDP01396	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	TRUE
S_Adygei-2.DG	HGDP01401	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	FALSE
S_Adygei-1.DG	HGDP01402	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	FALSE
HGDP01382.DG	HGDP01382	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	TRUE
HGDP01383.DG	HGDP01383	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	TRUE
HGDP01385.DG	HGDP01385	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	TRUE
HGDP01386.DG	HGDP01386	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	TRUE
HGDP01387.DG	HGDP01387	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	TRUE
HGDP01397.DG	HGDP01397	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	TRUE
HGDP01398.DG	HGDP01398	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	TRUE
HGDP01399.DG	HGDP01399	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	TRUE
HGDP01400.DG	HGDP01400	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	TRUE
HGDP01401.DG	HGDP01401	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	TRUE
HGDP01402.DG	HGDP01402	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	TRUE
HGDP01403.DG	HGDP01403	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	TRUE
HGDP01404.DG	HGDP01404	Modern	0	0	Caucasus,__Krasnodar	Russia	44	39	..	FALSE	TRUE
Darra.I.Kur_noUDG_d	Darra.I.Kur	Direct	4466	42	Darra-i-Kur__Cave	Afghanistan	36.783333	70	..	TRUE	TRUE
I14688	I14688	Context	2450	58	Çinamak__(Norteastern,__Kukes__District)	Albania	42.020556	20.388611	..	FALSE	TRUE
I14690	I14690	Context	3000	375	Çinamak__(Norteastern,__Kukes__District)	Albania	42.020556	20.388611	..	FALSE	TRUE
I14692	I14692	Context	2900	318	Çinamak__(Norteastern,__Kukes__District)	Albania	42.020556	20.388611	..	FALSE	TRUE
I16251	I16251	Context	2500	130	Çinamak__(Norteastern,__Kukes__District)	Albania	42.020556	20.388611	..	FALSE	TRUE
I16254	I16254	Context	2450	58	Çinamak__(Norteastern,__Kukes__District)	Albania	42.020556	20.388611	..	FALSE	TRUE
I16256	I16256	Context	2500	87	Çinamak__(Norteastern,__Kukes__District)__	Albania	42.020556	20.388611	..	FALSE	TRUE
I17640	I17640	Context	2450	58	Norteastern,__Kukes__District,__Çinamak	Albania	42.020556	20.388611	damage.ss.half=0.074	FALSE	TRUE
I17623	I17623	Context	1050	58	Southwest,__Dukat	Albania	40.285	19.477222	damage.ss.half=0.089	FALSE	TRUE
I14691	I14691	Context	3500	664	Çinamak__(Norteastern,__Kukes__District)	Albania	42.020556	20.388611	2500.to.5000.SNPs	FALSE	FALSE
I14689	I14689	Direct	4505	59	Çinamak__(Norteastern,__Kukes__District)	Albania	42.020556	20.388611	..	FALSE	TRUE
I15705	I15705	Direct	8096	49	Podgorie__(Southeast,__Korça__Basin)	Albania	40.810556	20.793889	..	FALSE	TRUE
I16253	I16253	Direct	2426	63	Çinamak__(Norteastern,__Kukes__District)	Albania	42.020556	20.388611	..	FALSE	TRUE
I13835	I13835	Direct	246	64	Barç__(Southeast,__Korça__Basin)__	Albania	40.625278	20.801111	..	FALSE	TRUE
I13838	I13838	Context	6200	433	Tren__cave__(Southeast__,__Devoll__area)	Albania	40.671111	20.984722	..	FALSE	TRUE
I13840	I13840	Direct	6102	65	Tren__Cave__(Southeast__,__Devoll__area)__	Albania	40.671111	20.984722	..	FALSE	TRUE
I8471	I8471	Direct	3745	52	Shkrel	Albania	42.15	19.29	..	FALSE	TRUE
I13839	I13839	Direct	1014	33	Shtikë__(Southeastern,__Kolonja__Plateau)__	Albania	40.432222	20.712778	..	FALSE	TRUE
I14622	I14622	Direct	1121	36	Kënetë__(Norteastern,__Kukes__District)	Albania	42.036944	20.397222	..	FALSE	TRUE
I14685	I14685	Context	400	87	Bardhoc__(Norteastern,__Kukes__District)	Albania	42.12	20.518056	..	FALSE	TRUE
I15706	I15706	Direct	320	43	Pazhok__(Central)	Albania	40.998333	19.8325	..	FALSE	TRUE
I14686	I14686	Context	400	87	Bardhoc__(Northeastern,__Kukes__District)	Albania	42.12	20.518056	..	FALSE	TRUE
I14687	I14687	Context	400	87	Bardhoc__(Norteastern,__Kukes__District)	Albania	42.12	20.518056	..	FALSE	TRUE
I15707	I15707	Direct	399	53	Bardhoc__(Northeastern,__Kukes__District),__	Albania	42.12	20.518056	..	FALSE	TRUE
S_Albanian-1.DG	ALB212	Modern	0	0	Tirana	Albania	41.33	19.83	..	FALSE	TRUE
S_Tlingit-2.DG	Ale14	Modern	0	0	Nikolskoye	Russia	55.18	166	..	FALSE	TRUE
S_Tlingit-1.DG	Ale32	Modern	0	0	Petropavlovsk-Kamchatski	Russia	53	158.65	..	FALSE	TRUE
S_Aleut-2.DG	Ale20	Modern	0	0	Nikolskoye	Russia	55.18	166	..	FALSE	TRUE
S_Aleut-1.DG	Ale22	Modern	0	0	Nikolskoye	Russia	55.18	166	..	FALSE	TRUE
AltaiNeanderthal.DG	Altai	Context	110450	11287	Denisova__Cave,__Altai	Russia	51.409	84.689	..	FALSE	TRUE
AltaiNeanderthal_snpAD.DG	Altai	Context	110450	11287	Denisova__Cave,__Altai	Russia	51.3975	84.67611111	..	FALSE	FALSE
Altais1.SG	Altais1	Modern	0	0	..	Russia	..	..	..	FALSE	FALSE
S_Altaian-1.DG	altai363p	Modern	0	0	..	Russia	50.840069	85.654179	..	FALSE	TRUE
Altais2.SG	Altais2	Modern	0	0	..	Russia	..	..	..	FALSE	FALSE
S_Ami-1.DG	NA13607	Modern	0	0	..	Taiwan	22.843145	121.185356	..	FALSE	TRUE
S_Ami-2.DG	NA13616	Modern	0	0	..	Taiwan	22.843145	121.185356	..	FALSE	TRUE
Ancestor.REF	Ancestor	Modern	0	0	..	..	..	..	..	FALSE	FALSE
Aconcagua_noUDG.SG	Aconcagua	Context	500	29	Cerro__Aconcagua,__Mendoza__Province	Argentina	-32.65	-70.01	..	FALSE	TRUE
I7090	I7090	Direct	7162	100	Arroyo__Seco__II	Argentina	-38.3605556	-60.2441667	..	FALSE	FALSE
I1748	I1748	Direct	7162	100	Arroyo__Seco__II	Argentina	-38.3605556	-60.2441667	mtcontam=[0.88,0.92]	FALSE	FALSE
I7088	I7088	Direct	7428	70	Arroyo__Seco__II	Argentina	-38.3605556	-60.2441667	damage.ss.half=0.047,__mtcontam=[0.643,0.729]	FALSE	FALSE
I0308	I0308	Direct	7428	70	Arroyo__Seco__II	Argentina	-38.3605556	-60.2441667	damage.ds.half=0.012-0.092	FALSE	TRUE
I0309	I0309	Direct	7652	71	Arroyo__Seco__II	Argentina	-38.3605556	-60.2441667	..	FALSE	TRUE
I2230	I2230	Direct	8574	125	Arroyo__Seco__II	Argentina	-38.3605556	-60.2441667	..	FALSE	TRUE
I2232	I2232	Direct	8373	65	Arroyo__Seco__II	Argentina	-38.3605556	-60.2441667	..	FALSE	TRUE
I7086	I7086	Direct	7758	58	Arroyo__Seco__II	Argentina	-38.3605556	-60.2441667	..	FALSE	TRUE
I12941	I12941	Direct	160	115	Beagle__Channel,__Tierra__del__Fuego,__Almanza	Argentina	-54.85	-67.57	damage.ds.half=0.018,__mitigated.because.recent	FALSE	TRUE
I12942	I12942	Direct	60	43	Beagle__Channel,__Tierra__del__Fuego,__Acatushún	Argentina	-54.87	-67.33	damage.ds.half=0.031	FALSE	TRUE
I12943	I12943	Direct	180	118	Beagle__Channel,__Tierra__del__Fuego,__Almanza	Argentina	-54.85	-67.57	..	FALSE	TRUE
Yaghan890_noUDG.SG	Yaghan890	Context	100	29	Beagle__Channel,__Tierra__del__Fuego	Argentina	-55.01	-69.07	..	FALSE	TRUE
