ind_id	pop	time	sampled	lat	lon	node1	node2
21861	EHG	24930	True	47.7004248853952	5.48428185487459	15562	15563
28482	ANA	18510	True	45.2307452935791	6.80338321030024	19448	19449
6002	OOA	43543	True	32.505825223989	52.1199928476129	4432	4433
42760	EUR	3911	True	50.7858932328349	19.7876915668544	28014	28015
34824	EUR	12189	True	57.5468004911097	37.9594332794779	23152	23153
16822	OOA	30035	True	42.0094046227588	60.0189140307335	12510	12511
31591	EHG	15422	True	47.4738546197526	12.8958570583953	21248	21249
560	OOA	50309	True	30.4653969291557	32.0121060792082	372	373
2342	OOA	48097	True	26.5062192443276	38.6937400161132	1696	1697
31890	ANA	15117	True	46.3409139628655	23.69729559401	21426	21427
11693	OOA	36346	True	40.4052220487099	60.8226325322073	8712	8713
22489	EUR	24302	True	50.6867858864473	25.016772639471	15930	15931
39143	EHG	8022	True	47.8375217367038	9.3462699295239	25666	25667
42718	YAM	3965	True	49.9246591847723	27.181311360916	27982	27983
20429	EHG	26293	True	60.2146380907798	49.6436739282909	14758	14759
15001	OOA	32299	True	39.0929251858889	57.769916181776	11156	11157
12348	OOA	35441	True	42.0180832723395	58.9242815869946	9172	9173
13903	OOA	33665	True	41.8997627948538	57.5385912937592	10324	10325
42955	YAM	3701	True	53.581863956666	10.5381467807338	28120	28121
11187	OOA	36959	True	39.6836402070796	58.2068575606688	8326	8327
19872	ANA	26868	True	39.2076472094672	39.6321327790997	14396	14397
18306	OOA	28281	True	41.4295236165435	57.6365967730721	13572	13573
19281	EHG	27456	True	55.830219060578	53.3368715968688	14064	14065
32311	EUR	14722	True	39.789569748552	37.3177208614853	21658	21659
36173	EHG	10837	True	56.6460075413054	40.2709387663009	23926	23927
45194	EUR	1135	True	52.0646671226942	23.6822676753375	29656	29657
15236	OOA	31949	True	40.5348639649796	63.6320898398102	11334	11335
34939	EHG	12061	True	45.5660174192103	24.5371881133177	23210	23211
27159	ANA	19778	True	46.4654786145867	3.21190416781666	18664	18665
30911	EHG	16126	True	38.9197874518345	29.1815649488038	20864	20865
13698	OOA	33902	True	39.7878993465107	56.7472923618419	10186	10187
37428	ANA	9668	True	36.7979408021532	30.3630603268875	24612	24613
36829	EUR	10188	True	39.4817932701782	30.7540598531537	24300	24301
18236	OOA	28334	True	40.0544618586562	57.8770056919211	13538	13539
26751	EHG	20209	True	56.0095446942179	51.6178490357584	18414	18415
42267	ANA	4541	True	47.6532811994778	19.1243234233227	27670	27671
11736	OOA	36279	True	39.6359597497797	64.3181039884999	8744	8745
21523	ANA	25226	True	40.521159883505	59.8753022123124	15400	15401
33452	ANA	13553	True	35.8984581334306	36.1373264105501	22372	22373
11079	OOA	37092	True	39.2920038831471	59.1961651568321	8244	8245
9193	OOA	39436	True	37.4831545060641	59.5091982054628	6852	6853
26012	EHG	20967	True	48.298835498455	16.9273925136631	17990	17991
19304	OOA	27428	True	41.4443610492389	57.0716807419964	14080	14081
5791	OOA	43807	True	29.9269557257894	51.2378383782838	4284	4285
32073	EUR	14936	True	49.0178518582199	28.9027417433661	21550	21551
10428	OOA	37906	True	40.8627655997003	58.6549410307832	7758	7759
41826	EUR	5103	True	55.9960537133025	32.9478503274316	27376	27377
35303	ANA	11704	True	38.1505766540115	35.2511308411089	23426	23427
40799	YAM	6295	True	50.4402047252413	27.8122527860695	26696	26697
8104	OOA	40836	True	35.8568279842557	57.2376778326199	6028	6029
31033	EHG	15996	True	58.1755922832443	48.5840576058792	20918	20919
20727	OOA	25973	True	38.7616924570871	35.3817288402669	14942	14943
38239	EHG	8876	True	48.5423867634797	24.795675102068	25106	25107
30877	EHG	16158	True	39.978596443699	38.825807772813	20846	20847
26135	ANA	20859	True	59.1972395757811	32.951600580723	18056	18057
18234	OOA	28342	True	39.1497587689436	59.2483724798362	13534	13535
14301	OOA	33210	True	43.2257790220222	58.5390904459041	10626	10627
40210	EHG	6949	True	40.8576472920153	33.0774115697646	26304	26305
18556	OOA	28059	True	40.3384179181205	57.2427855708733	13714	13715
42555	ANA	4191	True	53.314152918187	16.9256852806476	27878	27879
17237	OOA	29505	True	40.8205456376386	56.022388243663	12828	12829
31646	EUR	15360	True	53.3261124650739	23.0995147951504	21280	21281
10812	OOA	37409	True	37.6449655842233	63.2924921219095	8054	8055
22928	EHG	23915	True	42.9327739642917	19.3299038939984	16168	16169
38990	EUR	8180	True	38.0327000406154	33.2038025402339	25546	25547
9692	OOA	38791	True	38.7825788450397	63.3595200200994	7226	7227
3707	OOA	46398	True	29.7370682161472	39.7349427362737	2718	2719
43384	YAM	3289	True	49.5774827115251	14.1002284121715	28402	28403
19137	ANA	27605	True	40.7631836661206	58.4220849893458	13984	13985
31681	ANA	15340	True	54.1834794585663	44.0715134552406	21288	21289
8429	OOA	40409	True	39.603628425466	57.2145719856115	6270	6271
1926	OOA	48620	True	30.8332909427576	37.2680767959081	1400	1401
44476	EUR	2122	True	45.8125252893807	18.7422554187584	29096	29097
4947	OOA	44869	True	31.6672860958789	46.0408924823327	3630	3631
35997	EUR	10986	True	57.0473578534791	45.8259336194753	23828	23829
10049	OOA	38336	True	38.992044015346	61.5586636641308	7484	7485
32400	ANA	14627	True	40.1637081742151	35.0061692594946	21730	21731
29356	ANA	17610	True	47.6095410891642	24.2485048578001	19954	19955
13112	OOA	34580	True	38.1025355490867	63.6313690124094	9730	9731
32591	EHG	14450	True	36.795681610075	39.4671602477292	21826	21827
6930	OOA	42349	True	34.6311251082059	52.9400801450063	5130	5131
26104	EUR	20875	True	45.712868944195	13.2940033039108	18036	18037
