ind_id	pop_id	time	sampled	lat	lon	node1	node2	pop
72	1	50959	TRUE	27.1079956305225	31.3127894605299	0	1	OOA
73	1	50957	TRUE	30.0317984538987	32.2527539325234	2	3	OOA
74	1	50948	TRUE	30.3247818866627	34.358681036123	4	5	OOA
75	1	50946	TRUE	30.1116579309991	34.134025343767	6	7	OOA
76	1	50941	TRUE	27.8136487891387	33.8278156004832	8	9	OOA
77	1	50941	TRUE	30.6954495433029	36.5906008918119	10	11	OOA
78	1	50937	TRUE	31.4958954934172	30.2606036590723	12	13	OOA
79	1	50937	TRUE	31.698856065856	36.2669737990637	14	15	OOA
80	1	50935	TRUE	29.4469907267925	35.1018834400781	16	17	OOA
96	1	50934	TRUE	31.2951933865766	30.5739536108873	18	19	OOA
97	1	50931	TRUE	31.6745599829508	34.9384674652753	20	21	OOA
98	1	50921	TRUE	28.9844302119112	31.8393978902835	22	23	OOA
99	1	50917	TRUE	29.9179888920073	31.1959392932771	24	25	OOA
100	1	50915	TRUE	28.4544592249138	32.016895957763	26	27	OOA
101	1	50915	TRUE	27.2688999956183	33.4366753910012	28	29	OOA
102	1	50911	TRUE	28.0053691482198	33.7333515822519	30	31	OOA
103	1	50911	TRUE	29.1450164895256	31.6717685396312	32	33	OOA
116	1	50898	TRUE	29.3987215464941	29.1766767674647	34	35	OOA
117	1	50897	TRUE	28.9467980197962	32.5498295993738	36	37	OOA
118	1	50893	TRUE	30.1169592357777	32.5204957099327	38	39	OOA
119	1	50887	TRUE	27.5348394574513	32.7049697802502	40	41	OOA
120	1	50887	TRUE	29.7314103192687	30.9766265475677	42	43	OOA
121	1	50886	TRUE	29.5771344391698	36.3595640664249	44	45	OOA
122	1	50880	TRUE	28.3820210453272	33.3008541118404	46	47	OOA
123	1	50879	TRUE	30.8364526729958	34.4330411944183	48	49	OOA
124	1	50878	TRUE	28.5648385454797	33.4316964317681	50	51	OOA
125	1	50876	TRUE	27.7830537070798	32.8333572747512	52	53	OOA
140	1	50873	TRUE	31.6834581194201	34.7309526989794	54	55	OOA
141	1	50869	TRUE	27.6499792652984	30.879903642163	56	57	OOA
142	1	50869	TRUE	30.6562846139931	30.7244998600276	58	59	OOA
143	1	50864	TRUE	29.9461159423783	32.892996256972	60	61	OOA
144	1	50861	TRUE	27.6687474718628	32.2140072515191	62	63	OOA
145	1	50861	TRUE	26.504506524335	32.7706272202518	64	65	OOA
146	1	50860	TRUE	29.5946911427295	36.5182404739871	66	67	OOA
147	1	50857	TRUE	30.0208426391542	33.2336204231124	68	69	OOA
163	1	50844	TRUE	29.2659282326088	29.4917146553864	70	71	OOA
164	1	50843	TRUE	28.5718628122076	35.4327670907697	72	73	OOA
165	1	50835	TRUE	30.3976832982455	30.6900132423065	74	75	OOA
166	1	50831	TRUE	30.8015628302603	33.0089500452236	76	77	OOA
167	1	50828	TRUE	29.9880996375339	34.1478498779989	78	79	OOA
168	1	50827	TRUE	30.2443651922091	32.7773985023183	80	81	OOA
169	1	50821	TRUE	27.4062376866867	30.0299892424601	82	83	OOA
170	1	50820	TRUE	30.6143310275774	33.7224528527586	84	85	OOA
171	1	50820	TRUE	28.0666234845849	32.2218905150412	86	87	OOA
172	1	50819	TRUE	29.316399662066	29.4411088456321	88	89	OOA
184	1	50813	TRUE	29.711506364041	29.9184247750154	90	91	OOA
185	1	50809	TRUE	29.8728406675881	31.8041638976898	92	93	OOA
186	1	50802	TRUE	30.3682897691632	34.0031233276881	94	95	OOA
187	1	50793	TRUE	26.8600159122999	33.1040750286802	96	97	OOA
188	1	50792	TRUE	28.8188686037399	33.533136876919	98	99	OOA
189	1	50791	TRUE	29.3569075163247	36.907528123603	100	101	OOA
190	1	50791	TRUE	31.3898145527585	35.2105471784279	102	103	OOA
191	1	50789	TRUE	29.0532599674413	36.0419451777954	104	105	OOA
192	1	50788	TRUE	28.7388080132352	34.1526286195151	106	107	OOA
193	1	50786	TRUE	30.7857947666984	32.2950992922582	108	109	OOA
209	1	50784	TRUE	28.1519939293847	31.6230231120004	110	111	OOA
210	1	50778	TRUE	30.5004314002227	31.0123832291436	112	113	OOA
211	1	50775	TRUE	30.6723753836478	34.9658013384354	114	115	OOA
212	1	50761	TRUE	30.2459072260023	32.759978459289	116	117	OOA
213	1	50760	TRUE	30.1862091594394	34.1973424903731	118	119	OOA
